label HN CE RC PI PO SI SO
LABEL_PARTICIPATION_IN_OUT_l6_l0 0 0 0 0 0 1 1
l0 1 0 1 0 0 0 0
l1 1 0 1 0 0 0 0
TRANSVERSAL_FRONTIERS_IN_IN_l6_l6 0 0 0 0 0 1 1
l3 0 1 0 0 0 0 0
l4 0 1 0 0 0 0 0
l5 1 0 1 0 0 0 0
l6 0 1 0 0 0 0 0
LABEL_PARTICIPATION_IN_IN_l6_l0 0 0 0 0 0 1 1
LABEL_PARTICIPATION_IN_OUT_l6_l5 0 0 0 0 0 1 1
LABEL_PARTICIPATION_IN_IN_l4_l0 0 0 0 0 0 1 1
LABEL_PARTICIPATION_IN_IN_l3_l1 0 0 0 0 0 1 1
LABEL_PARTICIPATION_OUT_OUT_l6_l1 0 0 0 0 0 1 1
TRANSVERSAL_FRONTIERS_OUT_OUT_l3_l4 0 0 0 0 0 1 1
TRANSVERSAL_FRONTIERS_OUT_OUT_l3_l3 0 0 0 0 0 1 1
LABEL_PARTICIPATION_IN_IN_l6_l5 0 0 0 0 0 1 1
